DATE,CPI,M2,FEDFUNDS,HIGHYIELD
1999-12-01,4.4,6.00658,5.3,11.1973913
2000-01-01,4.6,5.98737,5.45,11.51333333
2000-02-01,5.3,5.74198,5.73,11.60571429
2000-03-01,6.2,6.27468,5.85,11.89043478
2000-04-01,5,6.84646,6.02,12.1325
2000-05-01,5.2,5.98845,6.27,12.58608696
2000-06-01,6.2,5.87061,6.53,12.47772727
2000-07-01,6,5.62135,6.54,12.37047619
2000-08-01,5.6,5.83958,6.5,12.44347826
2000-09-01,5.8,6.25041,6.52,12.44045455
2000-10-01,5.8,6.04813,6.51,13.16545455
2000-11-01,5.8,5.85186,6.51,13.90045455
2000-12-01,5.8,6.18801,6.4,14.3552381
2001-01-01,6.3,6.63281,5.98,13.55636364
2001-02-01,6,7.15263,5.49,12.663
2001-03-01,5.1,7.6812,5.31,12.74434783
2001-04-01,5.5,7.75896,4.8,13.365
2001-05-01,6.1,7.97451,4.21,12.77869565
2001-06-01,5.5,8.41821,3.97,13.02545455
2001-07-01,4.7,8.64409,3.77,13.17227273
2001-08-01,4.7,8.71199,3.65,12.71217391
2001-09-01,4.5,10.20358,3.07,13.51388889
2001-10-01,3.7,9.60938,2.49,13.81217391
2001-11-01,3.3,10.25552,2.09,12.91954545
2001-12-01,2.8,10.33096,1.82,12.8545
2002-01-01,2.1,9.61473,1.73,12.62681818
2002-02-01,2,9.35961,1.74,12.4565
2002-03-01,2.4,8.34385,1.73,12.14714286
2002-04-01,2.9,6.99975,1.75,11.84772727
2002-05-01,2.2,7.56867,1.75,11.57869565
2002-06-01,1.9,7.20982,1.75,12.23333333
2002-07-01,2.6,7.41246,1.73,13.29826087
2002-08-01,3.1,7.53074,1.74,13.30304348
2002-09-01,2.7,5.75125,1.75,13.08285714
2002-10-01,3.6,6.80707,1.75,13.85521739
2002-11-01,4,6.87258,1.34,12.87454545
2002-12-01,4.4,6.22401,1.24,12.18761905
2003-01-01,4.9,6.42636,1.24,11.41318182
2003-02-01,5.6,6.51603,1.26,11.5
2003-03-01,5.4,6.664,1.25,11.04952381
2003-04-01,3.9,7.34068,1.26,10.16
2003-05-01,3.4,7.929,1.26,9.39
2003-06-01,3.5,8.10421,1.22,8.902857143
2003-07-01,3.7,8.1158,1.01,8.962608696
2003-08-01,4,8.33156,1.03,9.401363636
2003-09-01,4.3,7.36917,1.01,8.790454545
2003-10-01,3.7,6.37148,1.01,8.353913043
2003-11-01,3.5,5.53855,1,8.12952381
2003-12-01,3.7,5.11608,0.98,7.775
2004-01-01,3.7,4.66699,1,7.308181818
2004-02-01,3.1,4.68437,1.01,7.554761905
2004-03-01,3.2,4.92544,1,7.47
2004-04-01,4.2,4.95694,1,7.603333333
2004-05-01,5.3,5.18182,1,8.298571429
2004-06-01,5.8,4.57805,1.03,8.183636364
2004-07-01,5.4,3.99821,1.26,7.923043478
2004-08-01,4.7,3.43889,1.43,7.792727273
2004-09-01,4.7,4.48722,1.61,7.488636364
2004-10-01,5.9,5.10753,1.76,7.341363636
2004-11-01,6.7,5.44891,1.93,7.064545455
2004-12-01,6.2,5.78511,2.16,6.945454545
2005-01-01,5.3,5.74438,2.28,7.113809524
2005-02-01,5.7,5.2091,2.5,6.973
2005-03-01,6,4.74464,2.63,7.271818182
2005-04-01,6.3,4.27542,2.79,7.913181818
2005-05-01,5.4,3.27372,3,8.199545455
2005-06-01,4.8,3.75249,3.04,7.765454545
2005-07-01,5.8,4.0275,3.26,7.572272727
2005-08-01,6.9,4.11371,3.5,7.564782609
2005-09-01,9,4.08176,3.62,7.739545455
