Date,NASDAQ,SP500
2000-01-01,3940.350098,1394.459961
2000-02-01,4696.689941,1366.420044
2000-03-01,4572.830078,1498.579956
2000-04-01,3860.659912,1452.430054
2000-05-01,3400.909912,1420.599976
2000-06-01,3966.110107,1454.599976
2000-07-01,3766.98999,1430.829956
2000-08-01,4206.350098,1517.680054
2000-09-01,3672.820068,1436.51001
2000-10-01,3369.629883,1429.400024
2000-11-01,2597.929932,1314.949951
2000-12-01,2470.52002,1320.280029
2001-01-01,2772.72998,1366.01001
2001-02-01,2151.830078,1239.939941
2001-03-01,1840.26001,1160.329956
2001-04-01,2116.23999,1249.459961
2001-05-01,2110.48999,1255.819946
2001-06-01,2160.540039,1224.380005
2001-07-01,2027.130005,1211.22998
2001-08-01,1805.430054,1133.579956
2001-09-01,1498.800049,1040.939941
2001-10-01,1690.199951,1059.780029
2001-11-01,1930.579956,1139.449951
2001-12-01,1950.400024,1148.079956
2002-01-01,1934.030029,1130.199951
2002-02-01,1731.48999,1106.72998
2002-03-01,1845.349976,1147.390015
2002-04-01,1688.22998,1076.920044
2002-05-01,1615.72998,1067.140015
2002-06-01,1463.209961,989.8200073
2002-07-01,1328.26001,911.6199951
2002-08-01,1314.849976,916.0700073
2002-09-01,1172.060059,815.2800293
2002-10-01,1329.75,885.7600098
2002-11-01,1478.780029,936.3099976
2002-12-01,1335.51001,879.8200073
2003-01-01,1320.910034,855.7000122
2003-02-01,1337.52002,841.1500244
2003-03-01,1341.170044,848.1799927
2003-04-01,1464.310059,916.9199829
2003-05-01,1595.910034,963.5900269
2003-06-01,1622.800049,974.5
2003-07-01,1735.02002,990.3099976
2003-08-01,1810.449951,1008.01001
2003-09-01,1786.939941,995.9699707
2003-10-01,1932.209961,1050.709961
2003-11-01,1960.26001,1058.199951
2003-12-01,2003.369995,1111.920044
2004-01-01,2066.149902,1131.130005
2004-02-01,2029.819946,1144.939941
2004-03-01,1994.219971,1126.209961
2004-04-01,1920.150024,1107.300049
2004-05-01,1986.73999,1120.680054
2004-06-01,2047.790039,1140.839966
2004-07-01,1887.359985,1101.719971
2004-08-01,1838.099976,1104.23999
2004-09-01,1896.839966,1114.579956
2004-10-01,1974.98999,1130.199951
2004-11-01,2096.810059,1173.819946
